lon,lat,att,verizon,name,name_ok,name_matches,name_remainder,type
-120.252307,34.468318,A13,V0,A13 V0,TRUE,3,,cell_coverage
-120.252412,34.468111,A16,NA,A16,FALSE,1,,cell_coverage
-120.252534,34.468227,NA,NA,V12 A15,FALSE,0,V12 A15,cell_coverage
-120.252601,34.468463,A15,V0,A15 V0,TRUE,3,,cell_coverage
-120.252462,34.468724,A12,NA,A12,FALSE,1,,cell_coverage
-120.258829,34.468589,A19,NA,A19,FALSE,1,,cell_coverage
-120.258792,34.468578,NA,NA,V20,FALSE,0,V20,cell_coverage
-120.269775,34.468645,NA,NA,V11,FALSE,0,V11,cell_coverage
-120.269634,34.468649,A14,V13,A14 V13,TRUE,3,,cell_coverage
-120.269142,34.468559,A21,NA,A21,FALSE,1,,cell_coverage
-120.268314,34.468557,A21,V10,A21 V10,TRUE,3,,cell_coverage
-120.267909,34.468529,A21,V0,A21 V0,TRUE,3,,cell_coverage
-120.267708,34.468552,A12,NA,A12,FALSE,1,,cell_coverage
-120.268245,34.468569,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.269056,34.46858,NA,NA,V11,FALSE,0,V11,cell_coverage
-120.269189,34.468579,A16,NA,A16,FALSE,1,,cell_coverage
-120.269617,34.468626,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.270241,34.46875,A11,NA,A11,FALSE,1,,cell_coverage
-120.270915,34.468939,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.273514,34.469378,A19,V17,A19 V17,TRUE,3,,cell_coverage
-120.277824,34.468428,A19,V20,A19 V20,TRUE,3,,cell_coverage
-120.281862,34.469608,A13,V17,A13 V17,TRUE,3,,cell_coverage
-120.284371,34.470802,A0,NA,A0,FALSE,1,,cell_coverage
-120.289537,34.472413,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.293634,34.471193,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.301401,34.472661,A23,V19,A23 V19,TRUE,3,,cell_coverage
-120.356904,34.457765,A17,V16,A17 V16,TRUE,3,,cell_coverage
-120.357862,34.457627,A17,V14,A17 V14,TRUE,3,,cell_coverage
-120.358889,34.457581,NA,NA,V21 A17,FALSE,0,V21 A17,cell_coverage
-120.359391,34.457535,A17,V14,A17 V14,TRUE,3,,cell_coverage
-120.360801,34.457459,A15,V14,A15 V14,TRUE,3,,cell_coverage
-120.361587,34.457434,A18,V14,A18 V14,TRUE,3,,cell_coverage
-120.361988,34.457423,A15,V12,A15 V12,TRUE,3,,cell_coverage
-120.362723,34.457368,A15,V16,A15 V16,TRUE,3,,cell_coverage
-120.363027,34.457349,A15,V12,A15 V12,TRUE,3,,cell_coverage
-120.363471,34.457333,A17,V17,A17 V17,TRUE,3,,cell_coverage
-120.363708,34.457338,A14,V13,A14 V13,TRUE,3,,cell_coverage
-120.363911,34.457405,NA,NA,WAP,FALSE,0,WAP,WAP
-120.364079,34.457363,A12,V0,A12 V0,TRUE,3,,cell_coverage
-120.364227,34.457339,A15,V19,A15 V19,TRUE,3,,cell_coverage
-120.364907,34.457326,A15,V12,A15 V12,TRUE,3,,cell_coverage
-120.365183,34.457388,NA,NA,WAP2,FALSE,0,WAP2,WAP
-120.365265,34.457343,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.365272,34.457333,A17,V12,A17 V12,TRUE,3,,cell_coverage
-120.365738,34.457275,A18,V13,A18 V13,TRUE,3,,cell_coverage
-120.365993,34.457259,A14,V13,A14 V13,TRUE,3,,cell_coverage
-120.366547,34.45723,A17,V13,A17 V13,TRUE,3,,cell_coverage
-120.367185,34.457291,NA,NA,WAP3,FALSE,0,WAP3,WAP
-120.367191,34.457297,A23,V17,A23 V17,TRUE,3,,cell_coverage
-120.367198,34.457293,A15,V11,A15 V11,TRUE,3,,cell_coverage
-120.36742,34.457144,A16,V17,A16 V17,TRUE,3,,cell_coverage
-120.367881,34.457181,A16,V20,A16 V20,TRUE,3,,cell_coverage
-120.368149,34.457182,A16,V12,A16 V12,TRUE,3,,cell_coverage
-120.368421,34.457187,A13,V12,A13 V12,TRUE,3,,cell_coverage
-120.368648,34.457212,A13,V19,A13 V19,TRUE,3,,cell_coverage
-120.368926,34.457287,A10,V0,A10 V0,TRUE,3,,cell_coverage
-120.369071,34.457341,NA,NA,WAP4,FALSE,0,WAP4,WAP
-120.369065,34.457348,NA,NA,HAP?,FALSE,0,HAP?,HAP
-120.369062,34.457353,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.36896,34.457402,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.370098,34.457507,NA,NA,WAP5,FALSE,0,WAP5,WAP
-120.371304,34.457593,NA,NA,WAP6,FALSE,0,WAP6,WAP
-120.371314,34.4576,NA,NA,HAP?,FALSE,0,HAP?,HAP
-120.371494,34.457726,NA,NA,CARCASS,FALSE,0,CARCASS,cell_coverage
-120.372266,34.457487,NA,NA,WAP7,FALSE,0,WAP7,WAP
-120.372279,34.457499,A13,V0,A13 V0,TRUE,3,,cell_coverage
-120.372733,34.457293,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.37374,34.457102,A11,V0,A11 V0,TRUE,3,,cell_coverage
-120.373741,34.457079,A18,V0,A18 V0,TRUE,3,,cell_coverage
-120.373854,34.457071,A11,NA,A11,FALSE,1,,cell_coverage
-120.374383,34.456995,A16,V0,A16 V0,TRUE,3,,cell_coverage
-120.375218,34.456869,A16,V19,A16 V19,TRUE,3,,cell_coverage
-120.375962,34.456919,NA,NA,WAP8,FALSE,0,WAP8,WAP
-120.375955,34.456929,A20,V19,A20 V19,TRUE,3,,cell_coverage
-120.375951,34.456935,A20,V14,A20 V14,TRUE,3,,cell_coverage
-120.376045,34.456868,A17,V0,A17 V0,TRUE,3,,cell_coverage
-120.376282,34.456812,A17,V15,A17 V15,TRUE,3,,cell_coverage
-120.376893,34.456712,A17,V13,A17 V13,TRUE,3,,cell_coverage
-120.377687,34.456753,A17,V21,A17 V21,TRUE,3,,cell_coverage
-120.378012,34.456775,A14,V21,A14 V21,TRUE,3,,cell_coverage
-120.378189,34.456811,A14,V18,A14 V18,TRUE,3,,cell_coverage
-120.37853,34.456853,A11,V18,A11 V18,TRUE,3,,cell_coverage
-120.378886,34.456955,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.378975,34.457041,NA,NA,WAP9,FALSE,0,WAP9,WAP
-120.379733,34.457172,NA,NA,WAP10,FALSE,0,WAP10,WAP
-120.379801,34.457161,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.382187,34.456839,A19,V0,A19 V0,TRUE,3,,cell_coverage
-120.38221,34.456838,A11,V18,A11 V18,TRUE,3,,cell_coverage
-120.382633,34.456778,NA,NA,WAP11,FALSE,0,WAP11,WAP
-120.382632,34.4568,A11,V18,A11 V18,TRUE,3,,cell_coverage
-120.38262,34.45681,A0,V18,A0 V18,TRUE,3,,cell_coverage
-120.355977,34.458554,A18,V20,A18 V20,TRUE,3,,cell_coverage
-120.355752,34.458673,A15,V12,A15 V12,TRUE,3,,cell_coverage
-120.355345,34.458931,A12,V13,A12 V13,TRUE,3,,cell_coverage
-120.354315,34.459232,A12,V0,A12 V0,TRUE,3,,cell_coverage
-120.354099,34.459348,NA,NA,WAP12,FALSE,0,WAP12,WAP
-120.354101,34.45936,A9,V0,A9 V0,TRUE,3,,cell_coverage
-120.353841,34.4594,NA,NA,HAP,FALSE,0,HAP,HAP
-120.353819,34.459378,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.353337,34.459259,A10,V0,A10 V0,TRUE,3,,cell_coverage
-120.352606,34.459175,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.350175,34.459078,NA,NA,WAP13,FALSE,0,WAP13,WAP
-120.349697,34.458872,A11,V0,A11 V0,TRUE,3,,cell_coverage
-120.349102,34.459054,A11,V13,A11 V13,TRUE,3,,cell_coverage
-120.349108,34.459053,NA,NA,WAP14,FALSE,0,WAP14,WAP
-120.349109,34.459054,NA,NA,HAP,FALSE,0,HAP,HAP
-120.349071,34.459011,A0,V0,A0 V0,TRUE,3,,cell_coverage
-120.34635,34.458648,A0,V17,A0 V17,TRUE,3,,cell_coverage
-120.346083,34.458675,A16,V14,A16 V14,TRUE,3,,cell_coverage
-120.34467,34.458662,A10,V12,A10 V12,TRUE,3,,cell_coverage
-120.344469,34.458653,A22,V17,A22 V17,TRUE,3,,cell_coverage
-120.344246,34.45866,A19,V17,A19 V17,TRUE,3,,cell_coverage
-120.343944,34.458654,A22,V17,A22 V17,TRUE,3,,cell_coverage
-120.343603,34.458655,A26,V22,A26 V22,TRUE,3,,cell_coverage
-120.343295,34.458666,A22,V19,A22 V19,TRUE,3,,cell_coverage
-120.34294,34.458717,A11,V19,A11 V19,TRUE,3,,cell_coverage
-120.342673,34.458731,A11,V25,A11 V25,TRUE,3,,cell_coverage
-120.342385,34.458763,A24,V23,A24 V23,TRUE,3,,cell_coverage
-120.342045,34.458812,A24,V21,A24 V21,TRUE,3,,cell_coverage
-120.341853,34.458853,A24,V22,A24 V22,TRUE,3,,cell_coverage
-120.341383,34.459005,A24,V25,A24 V25,TRUE,3,,cell_coverage
-120.340692,34.459316,A28,V24,A28 V24,TRUE,3,,cell_coverage
-120.340514,34.459475,A30,V27,A30 V27,TRUE,3,,cell_coverage
-120.340354,34.459595,NA,NA,WAP15,FALSE,0,WAP15,WAP
-120.340333,34.45962,A16,V22,A16 V22,TRUE,3,,cell_coverage
-120.34042,34.459592,A20,V17,A20 V17,TRUE,3,,cell_coverage
-120.340552,34.459485,A23,V17,A23 V17,TRUE,3,,cell_coverage
-120.346288,34.458824,NA,NA,WAP16,FALSE,0,WAP16,WAP
-120.346309,34.458816,NA,NA,HAP,FALSE,0,HAP,HAP
-120.356355,34.458224,NA,NA,HAP AUG,FALSE,0,HAP AUG,HAP
