site,date,n,seconds
2.JPG,NA,1,0.1
Cojo Canyon,17sep22,1308,130.8
Cojo Canyon,20jul22,2170,217
Cojo Canyon,26aug22,703,70.3
Cojo Gate,17sep22,1946,194.6
Cojo Gate,20jul22,750,75
Cojo Gate,26aug22,372,37.2
Cojalama,13aug22,6880,688
Cojalama,17sep22,282,28.2
Cojalama,20jul22,4690,469
Jalama,13aug22,2477,247.7
Jalama,13nov22,13520,1352
Jalama,17sep22,2863,286.3
Jalama,20jul22,11741,1174.1
Jalama 2,13aug22,10,1
Jalama 2,17sep22,160,16
Jalama 2,20jul22,90,9
Jalama 2,6jan23,550,55
North Beach Canyon,17sep22,50,5
Not Water Canyon,21aug22,30,3
RIZ N Backup,15oct22,23,2.3
Seawall,16oct22,240,24
Seawall,18jun22,690,69
Seawall,24aug22,1070,107
Jolluru,15oct22,26,2.6
Ladrones,15oct22,8,0.8
Morida,15oct22,17,1.7
Morida,21aug22,19,1.9
Not Water Canyon,15oct22,27,2.7
RIZ North,13nov22,437,43.7
RIZ North,15oct22,308,30.8
RIZ North,19aug22,419,41.9
RIZ North,21aug22,49,4.9
RIZ North,7sep22,150,15
RIZ N Backup,13nov22,8,0.8
RIZ South,15oct22,33,3.3
RIZ South,21aug22,29,2.9
RIZ South,24jun22,43,4.3
RIZ South,3jun22,16,1.6
RIZ South,7sep22,10,1
Short Canyon,15oct22,52,5.2
Saucito,15oct22,8,0.8
Saucito,21aug22,10,1
Saucito,24jun22,52,5.2
Water Canyon,15oct22,51,5.1
2.JPG,NA,1,0.125
Black Canyon,12nov22,213,26.625
Black Canyon,14may22,62,7.75
Black Canyon,16oct22,38,4.75
Black Canyon,17sep22,234,29.25
Black Canyon,18jun22,131,16.375
Black Canyon,28apr22,24,3
Black Canyon,5apr22,256,32
Big Cojo,12nov22,103,12.875
Big Cojo,16oct22,30,3.75
Big Cojo,20aug22,442,55.25
Percos Boat,14may22,241,30.125
Percos Boat,16oct22,2395,299.375
Percos Boat,17apr22,225,28.125
Percos Boat,17sep22,3753,469.125
Percos Boat,18jun22,319,39.875
Percos Boat,20aug22,2040,255
Boneyard,1oct22,80,10
Cojalama,21aug22,995,124.375
Cove,14may22,16,2
Cove,20jul22,14,1.75
Cove,5apr22,31,3.875
cove,12nov22,30,3.75
cove,16oct22,16,2
cove,17sep22,7,0.875
cove,22aug22,8,1
Damsite,12nov22,8,1
Damsite,14May22,23,2.875
Damsite,16oct22,14,1.75
Damsite,17sep22,23,2.875
Damsite,22aug22,47,5.875
North Beach Fort,14May22,79,9.875
North Beach Fort,16oct22,575,71.875
North Beach Fort,17sep22,99,12.375
North Beach Fort,20aug22,1384,173
North Beach Fort,30jul22,687,85.875
North Beach Fort,5apr22,276,34.5
Big Cojo,28apr22,39,4.875
Government Point,28apr22,46,5.75
Government Point,12nov22,23,2.875
Big Cojo,13mar22,15,1.875
Big Cojo,14may22,125,15.625
Big Cojo,17sep22,288,36
Big Cojo,5apr22,7,0.875
Government Point,16oct22,8,1
Government Point,17sep22,8,1
Government Point,20aug22,68,8.5
North Beach Canyon,14May22,178,22.25
North Vista Spring,14May22,40,5
North Vista Spring,16oct22,50,6.25
North Vista Spring,17sep22,63,7.875
North Vista Spring,20aug22,430,53.75
North Vista Spring,26aug22,42,5.25
North Vista Spring,30jul22,109,13.625
Percos Beach,12nov22,31,3.875
Percos Beach,17sep22,62,7.75
Percos Beach,18jun22,39,4.875
Percos Beach,20aug22,39,4.875
Percos Beach,28apr22,160,20
Percos Beach,30jul22,55,6.875
Percos Driftwood,16oct22,148,18.5
Percos Driftwood,17sep22,98,12.25
Percos Driftwood,22aug22,137,17.125
Percos Driftwood,28apr22,31,3.875
Percos Driftwood,5apr22,59,7.375
Percos Beach,14may22,39,4.875
Percos Log,12nov22,30,3.75
Percos Log,16oct22,94,11.75
Percos Log,17apr22,54,6.75
Percos Log,17sep22,164,20.5
Percos Log,18jun22,64,8
Percos Log,30jul22,125,15.625
Percos Log,5apr22,105,13.125
Percos Post,12nov22,60,7.5
Percos Post,14may22,8,1
Percos Post,16oct22,193,24.125
Percos Post,18jun22,16,2
Percos Post,30jul22,30,3.75
Percos Post,5apr22,84,10.5
RIZ North,3jun22,382,47.75
Boathouse,13nov22,127,15.875
Boathouse,15oct22,385,48.125
Boathouse,21aug22,31,3.875
Ladrones,15oct22,18,2.25
Old Fencepost,10may22,39,4.875
Old Fencepost,24jun22,8,1
Old Fencepost,31jul22,16,2
Old Fencepost,3jun22,23,2.875
Old Fencepost,7sep22,213,26.625
Sudden Canyon,10may22,16,2
Sudden Canyon,15oct22,15,1.875
Sudden Canyon,24jun22,54,6.75
Sudden Canyon,31jul22,8,1
Sudden Canyon,3jun22,8,1
Sudden Canyon,7sep22,8,1
Water Canyon,18jun22,6,0.75
Water Canyon,20aug22,65,8.125
Wood Canyon,12nov22,74,9.25
Wood Canyon,16oct22,61,7.625
Wood Canyon,17sep22,40,5
